"Qty","Value","Device","Package","Parts","Description","",
"2","","PINHD-1X3","1X03","J1, J2","","",
"1","","PINHD-1X6","1X06","J3","","",
"4","0.1uF","C-USC0805","C0805","C1, C4, C7, C9","","",
"1","0.1uF 50V","C-USC0805","C0805","C3","","",
"2","10K","R-US_R0805","R0805","R1, R2","","",
"1","10k","R-US_R0805","R0805","R3","","",
"1","10uF","CPOL-USA/3216-18R","A/3216-18R","C6","","",
"1","16MHz","RESONATORSMD","RESONATOR-SMD","X1","","",
"1","1K","R-US_R0805","R0805","R4","","",
"2","220pF","C-USC0805","C0805","C5, C8","","",
"1","22uF 40V","CPOL-USUD-6,3X5,8","UD-6,3X5,8_NICHICON","C2","","",
"4","3.3K","R-US_R0805","R0805","R5, R6, R7, R8","","",
"1","500ma Slow","FUSE","1206","F1","","",
"2","ATA6631","ATA6631","SO-08","U1, U3","","",
"1","ATMEGA328","ATMEGA328","TQFP32-08","U2","","",
"1","BLUE","LED","1206-LED","D8","","",
"2","GREEN","LED","1206-LED","D6, D7","","",
"1","ICSP","PINHD-2X3","2X03","J4","","",
"4","MBR0540","SMF5.0AT1","SOD123FL","D1, D2, D3, D4","","",
"1","RED","LED","1206-LED","D5","","",
