"Part";"Value";"Device";"Package";"Description";"";
"C2";"22uF 40V";"CPOL-USUD-6,3X5,8";"UD-6,3X5,8_NICHICON";"";"";
"C3";"0.1uF 50V";"C-USC0805";"C0805";"";"";
"C4";"0.1uF";"C-USC0805";"C0805";"";"";
"C5";"220pF";"C-USC0805";"C0805";"";"";
"C6";"10uF";"CPOL-USA/3216-18R";"A/3216-18R";"";"";
"C7";"0.1uF";"C-USC0805";"C0805";"";"";
"C8";"220pF";"C-USC0805";"C0805";"";"";
"C9";"0.1uF";"C-USC0805";"C0805";"";"";
"D3";"MBR0540";"SMF5.0AT1";"SOD123FL";"";"";
"D4";"MBR0540";"SMF5.0AT1";"SOD123FL";"";"";
"D5";"RED";"LED";"1206-LED";"";"";
"D6";"GREEN";"LED";"1206-LED";"";"";
"D7";"GREEN";"LED";"1206-LED";"";"";
"D8";"BLUE";"LED";"1206-LED";"";"";
"F1";"500ma Slow";"FUSE";"1206";"";"";
"J1";"";"PINHD-1X3";"1X03";"";"";
"J2";"";"PINHD-1X3";"1X03";"";"";
"J4";"ICSP";"PINHD-2X3";"2X03";"";"";
"R3";"10k";"RESISTOR1206";"1206";"Resistor";"";
"R4";"1K";"R-US_R0805";"R0805";"";"";
"R5";"3.3K";"R-US_R0805";"R0805";"";"";
"R6";"3.3K";"R-US_R0805";"R0805";"";"";
"R7";"3.3K";"R-US_R0805";"R0805";"";"";
"R8";"3.3K";"R-US_R0805";"R0805";"";"";
"U1";"ATA6631";"ATA6631";"SO-08";"";"";
"U2";"ATMEGA328";"ATMEGA328";"TQFP32-08";"";"";
"U3";"ATA6631";"ATA6631";"SO-08";"";"";
"X1";"16MHz";"RESONATORSMD";"RESONATOR-SMD";"";"";
